"month","total_spend"
"2023-11","252443.65"
"2023-12","484786.56"
"2024-01","752730.64"
"2024-02","771466.12"
"2024-03","421384.28"
"2024-04","336101.50"
"2024-05","474586.80"
"2024-06","499342.13"
"2024-07","349199.78"
"2024-08","556872.09"
"2024-09","389582.76"
"2024-10","620077.86"
"2024-11","442122.42"
"2024-12","468156.61"
"2025-01","500658.51"
"2025-02","376833.16"
"2025-03","509875.90"
"2025-04","324550.89"
"2025-05","951647.15"
"2025-06","293384.38"
"2025-07","309574.25"
"2025-08","437820.45"
"2025-09","454255.25"
"2025-10","277603.64"
