"name","total_spend"
"Supplier 18","749981.39"
"Supplier 22","610327.64"
"Supplier 19","572169.80"
"Supplier 14","561921.90"
"Supplier 02","555529.14"
"Supplier 08","524101.02"
"Supplier 17","512636.10"
"Supplier 10","501432.52"
"Supplier 03","454446.18"
"Supplier 13","425399.27"
"Supplier 06","424678.36"
"Supplier 05","419289.27"
"Supplier 12","404357.19"
"Supplier 15","362025.16"
"Supplier 04","338104.83"
"Supplier 11","332192.93"
"Supplier 21","330923.05"
"Supplier 23","311112.80"
"Supplier 01","285293.35"
"Supplier 24","273978.09"
"Supplier 07","237950.07"
"Supplier 25","210261.65"
"Supplier 16","202822.78"
"Supplier 09","188349.38"
"Supplier 20","93829.20"
